,Rank,Major,Degree_Type,Early_Career_Pay,Mid_Career_Pay,High_Meaning
636,636,Interdisciplinary Studies (IS),Bachelors,"$50,700","$78,000",57%
638,638,Fashion Design & Marketing,Bachelors,"$55,900","$77,900",50%
639,639,Religion,Bachelors,"$50,500","$77,800",56%
642,642,Medical Technology,Bachelors,"$61,000","$77,700",82%
643,643,Fine Arts,Bachelors,"$49,000","$77,600",45%
646,646,Forensic Science,Bachelors,"$51,300","$77,400",63%
648,648,Public Health (PH),Bachelors,"$52,300","$77,300",70%
650,650,Speech-Language Pathology,Bachelors,"$49,600","$77,100",68%
651,651,Women's Studies,Bachelors,"$51,200","$77,000",60%
653,653,Modern Language Spanish,Bachelors,"$51,100","$76,900",63%
655,655,Physical Geography,Bachelors,"$55,000","$76,800",58%
657,657,Pastoral Studies,Bachelors,"$58,900","$76,700",-
659,659,Dramatic Art,Bachelors,"$47,100","$76,600",-
660,660,Music Industry,Bachelors,"$52,200","$76,400",38%
661,661,Performing Arts,Bachelors,"$51,300","$76,300",56%
662,662,African American & African Studies,Bachelors,"$54,300","$76,100",61%
663,663,Ornamental Horticulture,Bachelors,"$51,600","$76,000",67%
665,665,Hospitality & Tourism,Bachelors,"$51,400","$75,900",40%
666,666,Education,Bachelors,"$50,600","$75,800",65%
667,667,Foods & Nutrition,Bachelors,"$52,800","$75,300",68%
668,668,Fashion & Retail Management,Bachelors,"$55,800","$75,000",30%
669,669,Small Business Management,Bachelors,"$52,900","$74,900",36%
671,671,Clinical Nutrition,Bachelors,"$58,700","$74,800",-
672,672,Painting,Bachelors,"$47,400","$74,700",44%
673,673,Speech Pathology & Audiology,Bachelors,"$51,400","$74,600",75%
674,674,Physical Education Teaching,Bachelors,"$48,000","$74,400",68%
676,676,Clinical Psychology,Bachelors,"$47,500","$74,300",65%
677,677,Instrumental Music Teacher Education,Bachelors,"$48,000","$74,200",69%
679,679,Technical Theatre,Bachelors,"$46,400","$74,100",41%
680,680,Social & Criminal Justice,Bachelors,"$49,900","$73,900",55%
682,682,Family & Consumer Science,Bachelors,"$49,400","$73,800",61%
684,684,Network Technology,Bachelors,"$63,500","$73,700",60%
685,685,Video Production,Bachelors,"$48,600","$73,600",36%
687,687,International Trade,Bachelors,"$54,100","$73,400",44%
688,688,Missions,Bachelors,"$45,400","$73,200",-
690,690,Health Services Administration,Bachelors,"$49,000","$73,100",64%
692,692,Justice Studies,Bachelors,"$51,500","$73,000",49%
693,693,Physical Therapist Assistant Studies,Bachelors,"$55,100","$72,800",-
695,695,Sports Administration,Bachelors,"$49,700","$72,600",47%
700,700,Graphic Arts,Bachelors,"$48,000","$72,400",44%
701,701,Secondary English Teacher Education,Bachelors,"$49,800","$72,100",62%
703,703,Interior Design & Merchandising,Bachelors,"$50,200","$72,000",41%
705,705,Health & Wellness,Bachelors,"$45,500","$71,900",69%
706,706,Restaurant & Food Service Management,Bachelors,"$50,100","$71,800",40%
707,707,Theology,Bachelors,"$49,600","$71,700",68%
